name,address,borough,zip
7-11 #35764,60-31 Metropolitan Ave,Ridgewood,11385
7-11 #35819,182 5th Ave,New York,10010
7-11 #35823,1239 2nd Ave,New York,10065
7-11 #35859,78-14 Roosevelt Ave,Jackson Heights,11372
7-11 #35866,Broadway & W 96th St,New York,10025
7-11 #35887,1764 University Ave,Bronx,10453
7-11 #35889,2192 White Plains Rd,Bronx,10462
7-11 #35895,243 W 34th St,New York,10001
7-11 #35987,107-40 Queens Blvd,Forest Hills,11375
7-11 #36008,194 7th Ave,New York,10011
7-11 #36025,1163 Utica Ave,Brooklyn,11203
7-11 #36038,845 Flatbush Ave,Brooklyn,11226
7-11 #36091,547 Coney Island Ave,Brooklyn,11218
7-11 #36096,136 Empire Blvd,Brooklyn,11225
7-11 #36100,79-41 Metropolitan Ave,Middle Village,11379
7-11 #36477,881 8th Ave,New York,10019
7-11 #36478,111 John St,New York,10038
7-11 #36678,170 Avenue A,New York,10009
7-11 #36797,111 Fulton St,New York,10038
7-11 #36799,135 W 3rd St,New York,10012
7-11 #36802,1523 Avenue J,Brooklyn,11230
7-11 #36878,403 Grand St,New York,10002
7-11 #36950,708 Brighton Beach Ave,Brooklyn,11235
7-11 #36951,179-55 Hillside Ave,Jamaica,11432
7-11 #36979,246 W 23rd St,New York,10011
7-11 #36984,117-13 Farmers Blvd,Saint Albans,11412
7-11 #37020,1239 Fulton St,Brooklyn,11216
7-11 #37023,600 W 178th St,New York,10033
7-11 #37035,478 3rd Ave,New York,10016
7-11 #37064,224-01 Merrick Blvd,Springfield Gardens,11413
7-11 #37066,10504 Flatlands Ave,Brooklyn,11236
7-11 #37073,6321 18th Ave,Brooklyn,11204
7-11 #37104,1642 Lexington Ave,New York,10029
7-11 #37116,2256 2nd Ave,New York,10029
7-11 #37176,2726 Fredrick Douglas Blvd,New York,10030
7-11 #37194,256 W 116th St,New York,10026
7-11 #37339,22 Graham Ave,Brooklyn,11206
7-11 #37539,801 Amsterdam Ave,New York,10025
7-11 #37688,1400 5th Ave,New York,10026
7-11 #37717,159-35 Crossbay Blvd,Howard Beach,11414
7-11 #37733,2 Franklin Avene,Lynbrook,11563
7-11 #37933,500 Baychester Ave,Bronx,10475
7-11 #38309,2290 Forest Ave,Staten Island,10303
7-11 #39084,557 Grand Concourse,Bronx,10451
7-11 #39102,140 Church St,New York,10007
7-11 #39176,219-17 Hillside Ave,Queens Village,11427
7-11 #39190,99-49 Horace Harding Expressway,Rego Park,11368
7-11 #39192,218-01 Northern Blvd,Bayside,11361
7-11 #39195,1381 Atlantic Ave,Brooklyn,11216
7-11 #39222,34-17 Northern Blvd,Long Island City,11106
7-11 #39291,1200 Victory Blvd,Staten Island,10301
7-11 #39295,1705 Richmond Ave,Staten Island,10314
7-11 #39308,535 8th Ave,New York,10018
7-11 #39365,590 E Fordham Rd,Bronx,10458
7-11 #39392,395 3rd Ave,New York,10016
7-11 #39436,15 Page Ave,Staten Island,10309
7-11 #39478,154-10 Rockaway Blvd,Jamaica,11434
7-11 #39479,1810 Forest Ave,Staten Island,10303
7-11 #39513,1755 Dutch Broadway,Elmont,11003
7-11 #39549,1845 Webster Ave,Bronx,10457
7-11 #39681,Jfk International Airport,Jamaica,11430
7-11 #39691,969 W Beech St,Long Beach,11561
7-11 #39775,6778 Hylan Blvd,Staten Island,10307
7-11 #39793,37 Laguardia Airport,Flushing,11371
7-11 #39854,160 Covert Ave,Garden City,11530
7-11 #39875,589 8th Ave,New York,10018
7-eleven,101-04 Metropolitan,Forest Hills,11375
7-eleven,1453 3rd Ave,New York,10028
7-eleven,154-18 Rockaway Blvd,Jamaica,11434
7-eleven,162-05 46th Ave,Flushing,11358
7-eleven,169 Atlantic Ave,Lynbrook,11563
