name,address,borough,zip
Butter Beans Kitchen @ Unicef,3 United Nations Plz,New York,10017
Cabanilla Corp,19-30 80th St,East Elmhurst,11370
Cafe Bravo,352 9th Ave,New York,10001
Cafe Europa - 2 Park Ave,2 Park Ave,New York,10016
Cafe Hestia,686 3rd Ave,New York,10017
Cafe One,1619 Amsterdam Ave,New York,10031
Caffe Benne,208 Avenue A,New York,10009
Campo Deli Grocery,216 Ave B,New York,10009
Campus Deli,1606 Amsterdam Ave,New York,10031
Canal Iconic Magazines,385 Canal St,New York,10013
Canal Street Newstand,52 Canal St,New York,10002
Cardsmart,3259 Richmond Ave,Staten Island,10312
Caton Ave Deli N Luchenoette,1818 Caton Ave,Brooklyn,11226
Central Organics,87 Central Ave,Brooklyn,11206
Chartwell - Bronxville School District,177 Pondfield Rd,Bronxville,10708
Chelsea Deli And Pizza,301 10th Ave,New York,10001
Chelsea Fine Food,300 8th Ave,New York,10001
Chelsea Hypermarket,366 W 23rd St,New York,10011
Chelsea Square Market,130 10th Ave,New York,10011
Cherry Tree,4051 Broadway,New York,10032
Chick Pea,2 W 46th St,New York,10036
Chick Pea,45 E 45th St,New York,10017
Church Ave Grill,1724 Church Ave,Brooklyn,11218
Church Avenue Food,111 Church Ave,Brooklyn,11218
Circle 7 Deli,1507 Gravesend Neck Rd,Brooklyn,11229
Circle Beverage,75-32 Parsons Blvd,Fresh Meadows,11366
Circle K,203 E Park Ave,Long Beach,11561
Citgo - Queens Blvd,36-20 Queens Blvd,Sunnyside,11101
Citgo,600 Pelham Pkwy S,Bronx,10462
City Acres Market,70 Pine St,New York,10005
City Gourmet Market,338 8th Ave,New York,10001
City Gourmet,535 9th Ave,New York,10018
Classic Service Car Wash,1859 Utica Ave,Brooklyn,11234
Clay Deli,1115 Manhattan Deli,Brooklyn,11222
Coco Moka,Penn Station,New York,10001
Coffee Z,30 Newkirk Plaza,Brooklyn,11226
Community Deli,857 E 241st St,Bronx,10470
Constellation Culinary - Cornell Tech,2 W Loop Rd,New York,10044
Convenience News,22-44 31st St,Astoria,11105
Convenience Store,1924 Kings Highway,Brooklyn,11229
Corner Grocers,140 Orchard St,New York,10002
Cozy Food Corp,565 Grand St,New York,10002
Crescent Gourmet Deli,27-02 Crescent St,Astoria,11102
Cross County Citco/car Wash,95 Vredenburgh Ave,Yonkers,10704
Crown Heights International Food,840 E New York Ave,Brooklyn,11203
D&d Deli,289 Hudson St,New York,10013
Daisy Beverage,10 Marion Pl,Yonkers,10705
Daves Gourmet,1944 1st Ave,New York,10029
Davids Auto Repair,302 Mcguinness,Brooklyn,11222
Day & Night,73 Bushwick Ave,Brooklyn,11211
Dear Irving At Aliz Hotel,310 W 40th St,New York,10018
Deli & Grocery 362,376 Hewes St,Brooklyn,11211
Deli 141,141 4th Ave,New York,10003
Deli Food Center,79 E 18th St,Brooklyn,11226
Di Falco Beverage,53 Dexter Ave,Staten Island,10309
Ditmars Supermarket,46-14 Ditmars Blvd,Astoria,11105
Diviera Drive,131 Berry St,Brooklyn,11249
Dominguez Grocery,1004 Flushing Ave,Brooklyn,11237
Don Juan Deli Grocery,110 Forsyth St,New York,10002
Downtown Natural Market,1701 Church Ave,Brooklyn,11226
Dunwoodie Deli & Dairy,325 Yonkers Ave,Yonkers,10701
Dyckman Deli,201 Dyckman St,New York,10040
E & P Beverage Corp,1000 Ocean Pkwy,Brooklyn,11230
E & S Wholesale,159 Essex St,New York,10002
E Smoke And Convenience,618 8th Ave,New York,10018
E Village Fruit,229 Ave B,New York,10009
E2 Mini Mart,52 Rivington St,New York,10002
Early Bird Smoke Shop,91 Norman Ave,Brooklyn,11222
East 18th Street Deli,57 E 18th St,Brooklyn,11226
East Village Farms,69 2nd Ave,New York,10003
East Village Finest Deli,50 Ave B,New York,10009
Edwys Grocery,274 S 4th Ave,Mount Vernon,10550
Eighth Avenue Gourmet Deli,134 8th Ave,New York,10011
El Clasico Candy Corp,969 Manhattan Ave,Brooklyn,11222
Eleganza Gourmet,1 Convent Ave,New York,10027
Elma Farms Market (zeytuna),17 Battery Place,New York,10004
Emigrant Savings Bank,6 E 43rd St,New York,10017
Emmons Deli,1729 Emmons Ave,Brooklyn,11235
Empire Deli,245 9th Ave,New York,10001
Empire Deli,42-16 30th Ave,Astoria,11103
Epicurean Market,45 University Place,New York,10003
